id,tax_sunat_effect/id,tax_sunat/id,type_tax_sunat
l10n_pe.1_igvxv,odoope_einvoice_base.e07_10,odoope_einvoice_base.e05_10,10 - IGV
l10n_pe.1_igvxc,odoope_einvoice_base.e07_10,odoope_einvoice_base.e05_10,10 - IGV
l10n_pe.1_igvexoneradov,odoope_einvoice_base.e07_20,odoope_einvoice_base.e05_97,10 - IGV
l10n_pe.1_igvexoneradoc,odoope_einvoice_base.e07_20,odoope_einvoice_base.e05_97,10 - IGV
l10n_pe.1_igvinafectov,odoope_einvoice_base.e07_30,odoope_einvoice_base.e05_98,10 - IGV
l10n_pe.1_igvinafectoc,odoope_einvoice_base.e07_30,odoope_einvoice_base.e05_98,10 - IGV
l10n_pe.1_igvperc,odoope_einvoice_base.e07_10,odoope_einvoice_base.e05_99,60 - PERCEPCION
l10n_pe.1_iscxv,odoope_einvoice_base.e07_10,odoope_einvoice_base.e05_20,20 - ISC
l10n_pe.1_iscxc,odoope_einvoice_base.e07_10,odoope_einvoice_base.e05_20,20 - ISC
